ym,crime,occ,vit
2024-10,"LETAIS_E_VIOLENTOS",173,240
2024-10,"ADMINISTRACAO_PUBLICA_E_JUSTICA",991,559
2024-10,"DISCRIMINACAO_E_DIREITOS_HUMANOS",395,410
2024-11,"CRIMES_SEXUAIS_E_EXPLORACAO",752,767
2024-11,"VIOLENCIA_INTERPESSOAL_DOMESTICA",19319,20779
2024-11,"ORDEM_PUBLICA_E_OUTROS",4413,3605
2024-11,"PATRIMONIAIS_COM_VIOLENCIA",2167,2296
2024-11,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2029,32
2024-11,"PATRIMONIAIS_SEM_VIOLENCIA",11467,9161
2024-11,"FRAUDES_E_FE_PUBLICA",10287,10142
2024-11,"DISCRIMINACAO_E_DIREITOS_HUMANOS",412,435
2024-11,"LETAIS_E_VIOLENTOS",150,171
2024-11,"VULNERAVEIS_E_CUIDADO",1277,1044
2024-11,"TRANSITO",5436,4006
2024-11,"ARMAS_E_MUNICOES",473,119
2024-11,"ADMINISTRACAO_PUBLICA_E_JUSTICA",983,515
2024-11,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",526,36
2024-12,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18921,20370
2024-12,"PATRIMONIAIS_SEM_VIOLENCIA",11677,9357
2024-12,"TRANSITO",5717,4014
2024-12,"VULNERAVEIS_E_CUIDADO",1131,950
2024-12,"CRIMES_SEXUAIS_E_EXPLORACAO",721,734
2024-12,"PATRIMONIAIS_COM_VIOLENCIA",2244,2423
2024-12,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1019,548
2024-12,"DROGAS_E_ORGANIZACAO_CRIMINOSA",1903,39
2024-12,"FRAUDES_E_FE_PUBLICA",10174,10051
2024-12,"ORDEM_PUBLICA_E_OUTROS",4443,3677
2024-12,"DISCRIMINACAO_E_DIREITOS_HUMANOS",339,358
2024-12,"ARMAS_E_MUNICOES",460,112
2024-12,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",523,41
2024-12,"LETAIS_E_VIOLENTOS",139,174
2025-01,"PATRIMONIAIS_SEM_VIOLENCIA",12401,9803
2025-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA",19980,21564
2025-01,"CRIMES_SEXUAIS_E_EXPLORACAO",711,737
2025-01,"VULNERAVEIS_E_CUIDADO",1246,1049
2025-01,"LETAIS_E_VIOLENTOS",148,186
2025-01,"FRAUDES_E_FE_PUBLICA",11888,11870
2025-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2206,42
2025-01,"PATRIMONIAIS_COM_VIOLENCIA",2329,2490
2025-01,"ORDEM_PUBLICA_E_OUTROS",4650,3831
2025-01,"ARMAS_E_MUNICOES",486,119
2025-01,"TRANSITO",5517,3667
2025-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA",970,527
2025-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",691,41
2025-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS",322,336
2025-02,"ORDEM_PUBLICA_E_OUTROS",4352,3583
2025-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA",19486,20927
2025-02,"FRAUDES_E_FE_PUBLICA",11117,11017
2025-02,"PATRIMONIAIS_SEM_VIOLENCIA",11315,8905
2025-02,"CRIMES_SEXUAIS_E_EXPLORACAO",748,771
2025-02,"TRANSITO",5418,3741
2025-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2085,23
2025-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA",897,523
2025-02,"VULNERAVEIS_E_CUIDADO",1271,1021
